target,id,date,flag,user,text
1,2016870232,Wed Jun 03 07:29:40 PDT 2009,NO_QUERY,nni,At home and watching Ellen - after a quite long time! 
1,1676536826,Fri May 01 22:20:41 PDT 2009,NO_QUERY,seventy5,@thehulkster thanx 
0,1966973215,Fri May 29 18:44:24 PDT 2009,NO_QUERY,jeffgignac,@lrobertsglobal I voted many times for BTO TCOB  o would have gone to nuit blanche for TCOB. Oh well
0,1974659772,Sat May 30 13:35:08 PDT 2009,NO_QUERY,Chris_Yu,FYI - Wonderland's water WILL infect your piercings. 
0,1995291970,Mon Jun 01 13:15:26 PDT 2009,NO_QUERY,MandaaRiess,@shineonmedia There's something wrong with your site. It's not letting me go on it. It said its temporarily unavailable 
0,1980249563,Sun May 31 06:10:42 PDT 2009,NO_QUERY,triliho,@celiciavs looove you too! didn't see you today  xo.
0,2262929505,Sat Jun 20 23:33:06 PDT 2009,NO_QUERY,emilymayyyy,Its toooo fucking hot to sleep god damnit. 
1,1993165123,Mon Jun 01 09:56:14 PDT 2009,NO_QUERY,Sirrobbie,Just got done with lunch and now we are going to go outside and play!  
1,1678288509,Sat May 02 06:12:20 PDT 2009,NO_QUERY,saaammie,Happy prom day 
1,2000695978,Mon Jun 01 22:43:37 PDT 2009,NO_QUERY,AnnieR,@mikeneumann Resisting. Urge. To. Laugh. At. Your. Oldness. *ponders* Except I'm older. Ergo laughing at myself. FAIL. 
0,1675959815,Fri May 01 20:44:37 PDT 2009,NO_QUERY,snappysentences,@soniasimone Sephora is my fave store - pity they don't deliver to Australia 
0,1973675589,Sat May 30 11:36:51 PDT 2009,NO_QUERY,SynBen,@nyc_specialist Hey yeah I know Jay on at 10 now but I will always remember him as 11:30pm... First TRL now Jay... I'm getting old 
1,1981027419,Sun May 31 08:14:52 PDT 2009,NO_QUERY,cilla44,so many things I can do now since school is over... 
1,1955949318,Thu May 28 20:54:33 PDT 2009,NO_QUERY,ialejandro,"@PaulaMaeTaylor Haha, I don't think half of the people know it does it automatically... every day... of life. "
1,2190910101,Tue Jun 16 04:03:15 PDT 2009,NO_QUERY,veryluckylady88,"@radityadika I've seen episode 5, and it was hilarious  try #ITCrowd on #Starworld every monday. On a lighter note, hv you seen #leverage?"
0,2300775021,Tue Jun 23 14:34:37 PDT 2009,NO_QUERY,str33tz,fuggin bored... I want my truck back 
1,1828031136,Sun May 17 11:57:00 PDT 2009,NO_QUERY,HumaneEducation,"Belgian city announces weekly &quot;veggie day&quot; (via BBC) http://tinyurl.com/q4bcbg - old news, I'm sure, but still worth posting "
0,1991077081,Mon Jun 01 06:21:25 PDT 2009,NO_QUERY,kogoshuko,is back in the real world... no more rollercoasters or brownnosers. 
1,1999820162,Mon Jun 01 20:53:01 PDT 2009,NO_QUERY,AbstractLegend,@nelly_da_great hahaha yuuuup!!! its your turn now!!! 
1,1563901099,Mon Apr 20 00:47:27 PDT 2009,NO_QUERY,joycescapade,One more Advice of the Day: With Great Powers Comes Great Responsibility 
0,2230258998,Thu Jun 18 16:51:45 PDT 2009,NO_QUERY,BlakeDykstra,losing at buzzzztime 
1,1969974139,Sat May 30 01:56:59 PDT 2009,NO_QUERY,reabow,@petermacrobert start by explaining that you have a girlfirend 
